,BEI_companyName,BEI_Cohort,BEI_Address,BEI_City,BEI_State,BEI_Zip,BEI_yearEstablished,BEI_NAICSCode,BEI_Sector,BEI_numberOfEmployees,BEI_execName,BEI_execTitle,BEI_execEth,BEI_revenue,BEI_Sustained Revenues >$800K,BEI_Website,BEI_phone,BEI_Strong Leadership and Willing to ready to grow,BEI_Demonstrated Proven Business Model,"BEI_51% owned, operated, capitalized and controlled by a member(s) of a presumed minority group",MBE_Cohort,MBE_Address,MBE_City,MBE_State,MBE_Zip,MBE_yearEstablished,MBE_NAICSCode,MBE_Sector,MBE_numberOfEmployees,MBE_execName,MBE_execTitle,MBE_execEth,MBE_revenue,MBE_Sustained Revenues >$800K,MBE_Website,MBE_phone,MBE_Strong Leadership and Willing to ready to grow,MBE_Demonstrated Proven Business Model,MBE_referenceUSA_indicator,referenceUSA_companyName,"MBE_51% owned, operated, capitalized and controlled by a member(s) of a presumed minority group",MVCF_Address,MVCF_City,MVCF_State,MVCF_Zip,MVCF_yearEstablished,MVCF_NAICSCode,MVCF_Sector,MVCF_numberOfEmployees,MVCF_execName,MVCF_execTitle,MVCF_execEth,MVCF_revenue,MVCF_Sustained Revenues >$800K,MVCF_Website,MVCF_phone,MVCF_Strong Leadership and Willing to ready to grow,MVCF_Demonstrated Proven Business Model,"MVCF_51% owned, operated, capitalized and controlled by a member(s) of a presumed minority group",NAIC_Address,NAIC_City,NAIC_State,NAIC_Zip,NAIC_yearEstablished,NAIC_NAICSCode,NAIC_sector,NAIC_numberOfEmployees,NAIC_execName,NAIC_execTitle,NAIC_execEth,NAIC_revenue,NAIC_Sustained Revenues >$800K,NAIC_Website,NAIC_phone,NAIC_Strong Leadership and Willing to ready to grow,NAIC_Demonstrated Proven Business Model,"NAIC_51% owned, operated, capitalized and controlled by a member(s) of a presumed minority group",USBC_companyAddress,USBC_City,USBC_State,USBC_Zip,USBC_yearEstablished,USBC_NAICCode,USBC_sector,USBC_numberOfEmployees,USBC_execName,USBC_execTitle,USBC_executiveRace,USBC_revenue,USBC_Sustained Revenues >$800K,USBC_Website,USBC_phone,USBC_Strong Leadership and Willing to ready to grow,USBC_Demonstrated Proven Business Model,"USBC_51% owned, operated, capitalized and controlled by a member(s) of a presumed minority group",RefUSA_address,RefUSA_City,RefUSA_State,RefUSA_Zip,RefUSA_yearEstablished,RefUSA_NAICSCode,RefUSA_sector,RefUSA_numberOfEmployees,RefUSA_execName,RefUSA_execTitle,RefUSA_execEth,RefUSA_revenue,RefUSA_Sustained Revenues >$800K,RefUSA_Website,RefUSA_phone,RefUSA_Strong Leadership and Willing to ready to grow,RefUSA_Demonstrated Proven Business Model,"RefUSA_51% owned, operated, capitalized and controlled by a member(s) of a presumed minority group",Name,Ethnicity
29,350 Grill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350 Worthington St Springfield,,MA,1103.0,2012,722511.0,,15,Sherri Via,owner,Hispanic,"$654,000",,,(413) 439-0666,,,,Sherri Via,Hispanic
30,360 Life Essentials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62 Bateman St Roslindale,,MA,2131.0,2017,453998.0,,20-49,,,,"$6,521,000",,,,,,,,
31,360 Talent Advisors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470 Atlantic Ave # 4 Boston,,MA,2210.0, NA,561110.0,,5_9,,,,"$1,363,000",,,(617) 273-8073,,,,,
32,3DI Models,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79 Prospect St Somerville,,MA,2143.0, NA,541310.0,,4,Juan Navarro,owner,Hispanic,"$779,000",,,(617) 628-1904,,,,Juan Navarro,Hispanic
33,"3iVE, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"334 Washington Street Somerville, Massachusetts 2143 United States",,,,,,Certified Contractors,,,,Black,,,,(617) 625-3483,,,,,,,,,,,,,,,,,,,,,,,
35,3M Co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 Commerce Rd Rockland,,MA,2370.0,1980,339112.0,,200,Mark Hurwitz,coo,,"$27,580,000",,,(781) 871-1400,,,,Mark Hurwitz,
36,3play Media Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1972 Massachusetts Ave # 2 Cambridge,,MA,2140.0,2007,511199.0,,5_9,Christopher Antunes,coo,Hispanic,"$1,422,000",,,(617) 764-5189,,,,Christopher Antunes,Hispanic
37,3SM Marble & Granite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1461 Main St # B Millis,,MA,2054.0, NA,337110.0,,7,Claudio Alves,"owner, president, board member",Hispanic,"$1,892,000",,,(508) 376-9044,,,,Claudio Alves,Hispanic
38,4 Productions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23 Norfolk Ave South Easton,,MA,2375.0, NA,334310.0,,6,,,,"$2,166,000",,,(774) 568-5400,,,,,
39,406 Ventures Management LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470 Atlantic Ave # 12 Boston,,MA,2210.0,2006,541614.0,,5_9,,,,"$1,812,000",,,(617) 406-3300,,,,,
40,451 Marketing LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 N Washington St # 1 Boston,,MA,2114.0,2004,541613.0,,60,Jessica Alario,executive vp,Hispanic,"$18,119,000",,,(617) 259-1605,,,,Jessica Alario,Hispanic
41,46 Financial LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105 Beach St # 3b Boston,,MA,2111.0, NA,524210.0,,1_4,Wayne Pena,owner,Hispanic,"$902,000",,,(617) 956-5020,,,,Wayne Pena,Hispanic
42,495 Truck & Auto Recyclers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143 Marston St Lawrence,,MA,1841.0, NA,423140.0,,4,Jack Coady,owner,Western Europe,"$3,110,000",,,(978) 682-3777,,,,Jack Coady,Western Europe
43,5x Basketball League Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38 Abbotsford St Dorchester,,MA,2121.0,2016,711211.0,,10_19,Tanya Word,owner,Western Europe,"$3,476,000",,,,,,,Tanya Word,Western Europe
44,600 Main St LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600 Main St Worcester,,MA,1608.0, NA,531110.0,,3,,,,"$510,000",,,(508) 795-7651,,,,,
45,600 Washington Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600 Washington St # 1500 Boston,,MA,2111.0,1970,531210.0,,7,,,,"$1,280,000",,,(617) 423-0157,,,,,
46,672 Main St LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672 Main St Hyannis,,MA,2601.0, NA,311612.0,,5_9,,,,"$5,409,000",,,(508) 827-4631,,,,,
47,7-Eleven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103 State St Boston,,MA,2109.0, NA,445120.0,,5_9,,,,"$1,343,000",,,(617) 723-0464,,,,Elias Abielias,African American
243,75 Francis & Women's Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75 Francis St Boston,,MA,2115.0, NA,621111.0,,1_4,,,,"$934,000",,,(617) 732-8218,,,,,
244,809 Express Transportation Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 Millbury St Worcester,,MA,1610.0, NA,488210.0,,10_19,Richard B Almonte Ortiz,"president, treasurer, board member",Hispanic,"$1,362,000",,,,,,,Richard B Almonte Ortiz,Hispanic
245,839 Main LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,839 Main St Brockton,,MA,2301.0, NA,811111.0,,4,,,,"$603,000",,,(774) 517-5974,,,,,
246,9 Arlington Street Condominium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 Arlington St Boston,,MA,2116.0, NA,531110.0,,5,,,,"$4,619,000",,,(617) 927-7444,,,,,
247,9er's Lures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79 Middleboro Ave Taunton,,MA,2780.0, NA,451110.0,,3,Eric Ferreira,owner,Hispanic,"$565,000",,,(508) 822-9650,,,,Eric Ferreira,Hispanic
248,A & A Commercial & Home Cleaning Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1296 Salem Street Malden, Massachusetts 2148 United States",,,,,,Certified Contractors,,,,Black,,,,(571) 228-4136,,,,,,,,,,,,,,,,,,,,,,,
250,A & C Style Construction Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194 June St Fall River,,MA,2720.0, NA,236115.0,,1_4,Adriano Matias,"president, vice president, treasurer, board member",Hispanic,"$724,000",,,,,,,Adriano Matias,Hispanic
251,A & D Exports Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 Ellis St Framingham,,MA,1701.0,2018,423990.0,,1_4,Danilo Martinez Ruano,owner,Hispanic,"$2,824,000",,,,,,,Danilo Martinez Ruano,Hispanic
252,A & E Beauty Supply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90 Lewis St Lynn,,MA,1902.0, NA,446120.0,,1,,,,"$741,000",,,(781) 592-5600,,,,,
253,A & E Construction Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117 Orleans St # 1f East Boston,,MA,2128.0,2016,236115.0,,5_9,Adan A Zuniga Tobar,"president, vice president, treasurer, board member",Hispanic,"$2,986,000",,,,,,,Adan A Zuniga Tobar,Hispanic
254,A & E Fire Protection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25 North St Canton,,MA,2021.0, NA,423610.0,,25,Edward Byrne,"president, treasurer, board member",Western Europe,"$23,763,000",,,(339) 502-9104,,,,Edward Byrne,Western Europe
255,A & E Home Improvement Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423 Hilldale Ave Haverhill,,MA,1832.0,2016,236118.0,,1_4,Ervin Chavarria,"president, treasurer",Hispanic,"$787,000",,,,,,,Ervin Chavarria,Hispanic
256,A & G Towing/Repair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25 Mohawk Dr # 1 Leominster,,MA,1453.0, NA,488410.0,,5_9,Gabriel G Chamorro,"president, treasurer, board member",Hispanic,"$756,000",,,(978) 728-7472,,,,Gabriel G Chamorro,Hispanic
257,"A & J Demolition Services, Corporation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"599 Canal Street, 5th Floor, Suite #8 Lawrence, Massachusetts 1840 United States",,,,,,Certified Contractors,,,,Black,,,,(978) 327-5070,,,,,,,,,,,,,,,,,,,,,,,
259,A & K Plumbing & Heating Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64 Shirley Ave Revere,,MA,2151.0, NA,238220.0,,1_4,Mark Alessandro,"president, board member",Mediterranean,"$643,000",,,(781) 284-8955,,,,Mark Alessandro,Mediterranean
260,A & L Construction LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 Conifer Hill Dr # 512 Danvers,,MA,1923.0, NA,236115.0,,1_4,Angel Lopez Sr,owner,Hispanic,"$1,573,000",,,(978) 774-4729,,,,Angel Lopez Sr,Hispanic
261,A & M Construction Svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122 Barre Rd Hubbardston,,MA,1452.0, NA,236220.0,,1_4,,,,"$1,140,000",,,(978) 928-5622,,,,,
262,A & M Foreign Motors Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400 Mystic Ave Somerville,,MA,2145.0, NA,811198.0,,4,Edwin Santa Cruz,president,Hispanic,"$564,000",,,(617) 776-1760,,,,Edwin Santa Cruz,Hispanic
263,A & M Landscape Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32 Dartmouth St Waltham,,MA,2453.0,2015,561730.0,,5_9,Antonio M Fuentes,"president, treasurer, board member",Hispanic,"$680,000",,,,,,,Antonio M Fuentes,Hispanic
264,A & R Auto Transports Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114 Mechanic St Leominster,,MA,1453.0,2016,811198.0,,5_9,Adderly Jimenez,"president, board member",Hispanic,"$756,000",,,,,,,Adderly Jimenez,Hispanic
